tier,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,status_standard,dominant_role_share,stratified_role_purity,metadata_concentration_risk_max_share,top_tokens
low_reliability_or_unlikely,surface_token,lkeeey,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lkeeey
low_reliability_or_unlikely,surface_token,odal,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.5,odal
low_reliability_or_unlikely,surface_token,okeor,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,okeor
low_reliability_or_unlikely,surface_token,okody,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,okody
low_reliability_or_unlikely,surface_token,olkar,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,olkar
low_reliability_or_unlikely,surface_token,opar,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.833,opar
low_reliability_or_unlikely,surface_token,otchedy,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,otchedy
low_reliability_or_unlikely,surface_token,otody,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,otody
low_reliability_or_unlikely,surface_token,qoeedy,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qoeedy
low_reliability_or_unlikely,surface_token,qokam,H08,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokam
low_reliability_or_unlikely,surface_token,qokeed,H08,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qokeed
low_reliability_or_unlikely,surface_token,qotchedy,H15,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,qotchedy
low_reliability_or_unlikely,surface_token,shed,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,shed
low_reliability_or_unlikely,surface_token,shody,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,shody
low_reliability_or_unlikely,surface_token,tchor,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,tchor
low_reliability_or_unlikely,surface_token,ykeeody,R00,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,ykeeody
low_reliability_or_unlikely,surface_token,ykeey,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,ykeey
low_reliability_or_unlikely,surface_token,yteey,R06,6,6,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,yteey
low_reliability_or_unlikely,surface_token,aiiin,R00,5,5,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,aiiin
